key,zh-CN,zh-Hant,en-US,es,fr,it,ja,kr
auth.accountOrPasswordIncorrect,用户名或密码不正确,使用者名稱或密碼不正確,Account or Password incorrect,Cuenta o Contraseña incorrecta,Compte ou mot de passe incorrect,Account o Password non corretti,アカウントまたはパスワードが間違っています,계정이름 또는 비밀번호가 잘못되었습니다
auth.agreements.and,和,和,and,y,et,e i,と,그리고
auth.agreements.ihavereadandaccepted,我已阅读并同意,我已閱讀並同意,I have read and accepted,He leído y acepto,Lu et accepté,Ho letto e Accetto la,私は以下を読み、承諾しました,읽고 승인했습니다
auth.agreements.privacypolicy,隐私政策,隱私權政策,Privacy Policy,Política de Privacidad Privacy Policy,Politique de confidentialité,Privacy Policy,プライバシーポリシー,개인 정보 정책
auth.agreements.termsofuse,使用条款,使用條款,Terms of Use,Condiciones de uso,Conditions d'utilisateur,Termini d’uso,利用規約,이용 약관
auth.emailAlreadyInUse,邮箱已被注册,郵箱已被註冊,Email already in use,Email ya en uso,Email déjà utilisé,Email già in uso,すでに使用されているメールアドレス,이미 사용중인 이메일입니다
auth.emailInvalid,无效邮箱,無效信箱,Email invalid,Email inválido,Email invalide,Email non valida,無効なメールアドレス,이메일이 잘못되었습니다
auth.nicknameAlreadyInUse,用户名已被注册,使用者名稱已被註冊,Nickname already in use,Apodo ya en uso,Pseudo déjà utilisé,Nickname già in uso,すでに使用されているニックネーム,이미 사용중인 닉네임입니다
auth.relogin.PleaseProvideYourIdentityDueToLoginInfoExpired,请输入登录信息,請輸入登入資訊,Please provide your identity due to login Info expired,"Por favor agregue su usuario, la sesión ha finalizado",Veuillez renseigner vos identifiants car les informations de connexion ont expiré,"Effettua nuovamente l’accesso, il login precedente è scaduto.",ログイン情報の有効期限が切れているため、IDをご入力ください,로그인 정보 만료로 인해 신원 정보를 입력하십시오
auth.relogin.email,邮箱,信箱,Email,Email,Email,Email,メールアドレス,이메일
auth.relogin.logout,登出,登出,Logout,Cerrar Sesión,Déconnexion,Logout,ログアウト,로그아웃
auth.relogin.password,密码,密碼,Password,Contraseña,Mot de passe,Password,パスワード,비밀번호
auth.relogin.verify,验证,驗證,Verify,Comprobar,Verifier,Verifica,認証,확인
auth.relogin.verifyIdentity,验证身份,驗證身分,User Verification,Comprobar,Vérification de l'utilisateur,Verifica Identità,ユーザー認証,사용자 인증
auth.sysError,系统错误,系統錯誤,System error,Error del sistema,Erreur système,Errore di Sistema,システムエラー,시스템에러
awayLock.enterPasswordUnlock,输入密码解锁,輸入密碼解鎖,Enter your Access Code to unlock,Ingrese su Código de Acceso para desbloquear,Entrez votre code d'accès pour déverrouiller,Inserisci la tua Password per sbloccarlo,アクセスコードを入力してロックを解除してください,잠금을 해제하기 위해 액세스코드를 입력하십시오
awayLock.passwordError,密码错误,密碼錯誤,Access Code Error,Error de código de acceso,Code d'accès incorrect,Password Errata,アクセスコードエラー,액세스코드가 잘못되었습니다
awayLock.simproLocked,SimPro已锁定,SimPro已鎖定,SimPro had been locked,SimPro había sido bloqueado,SimPro a été verrouillé,SimPro è stato bloccato,SimProがロックされました,심프로가 잠겼습니다
awayLock.unlock,解锁,解鎖,Unlock,Desbloquear,Débloquer,Sblocca,ロック解除,잠금해제
common.MyDashboard,我的仪表库,我的儀表庫,My Dashboard Library,Mi biblioteca de paneles de control,Ma bibliothèque de tableaux de bord,La mia libreria delle dashboard,Ma bibliothèque de tableaux de bord,나의 대시보드 라이브러리
common.add,加,加,Add,Añadir,Ajouter,Aggiungere,追加する,추가하다
common.addBtn,添加,添加,Add,Añadir,Ajouter,Aggiungere,追加する,추가하다
common.angle.breake,刹车角度,剎車角度,Brake Angle,Ángulo de freno,Frein Angle,Angolo frenante,刹车ブレーキ角度です角度,브레이크 각도
common.angle.steering,方向盘角度,方向盤旋轉角度,Steering wheel Angle,Ángulo de rotación del volante,Angle de rotation du volant,Angolo di rotazione del volante,ハンドルの回転角度です,핸들의 회전 각도
common.angle.throttle,油门角度,油門角度,Throttle Angle,Ángulo del acelerador,Accélérateur Angle,Prospettive di utilizzazione,アクセル角度です,스로틀 각도
common.anticlockwise,逆时针,逆時針,Anti-Clockwise,Antihorario,Antihoraire,Antiorario,反時計回り,반시계 방향
common.applicableRaceCategories,适用赛事类别,,,,,,,
common.applicableScenarios,适用场景,,,,,,,
common.associatedGameTags,关联游戏标签,,Associated Game Tags,,,,,
common.backView,背面,背面,Back View,,,,,
common.basicInformation,基本信息,基本資訊,Basic Information,Información básica,Informations de base,Informazioni di base,基本情報,기본 정보
common.brake,刹车,煞車,Brake,Freno,Frein,Freno,ブレーキ,브레이크
common.brighness,亮度,亮度,Brightness,Brillo,Luminosité,Luminosità,明るさ,밝기
common.calibration,校准,校準,calibrate,calibración,étalonnage,Calibrazione,校正,캘리브레이션
common.cancel,取消,取消,Cancel,Cancelar,La suppression des,soppressione,取り消します,취소
common.centerToEdge,从中到边,從中到邊,Center to edge,Centro a borde,Centre au bord,Centro al bordo,中から端,중앙에서 가장자리까지
common.clear,清空,清空,Clear,Borrar,Effacer,Pulisci,クリア,비우기
common.clearAll,全部清除,,Clear all,,,,,
common.clockwise,顺时针,順時針,Clockwise,Horario,Horaire,Orario,時計回り,시계 방향
common.close,关闭,關閉,Close,cierre,La fermeture,chiusura,閉鎖します,닫기
common.commonlyUsed,常用,常用,Frequently Used,Comúnmente usado,Couramment utilisé,Comunemente usato,よく使う,자주 사용하는
common.confirm.delete,确认删除,確認删除,Confirm deletion,Confirmar la eliminación,Confirmer la suppression,Cancellazione confermata,削除確認します,삭제 확인
common.confirm.name,确认,確認,Confirm,Confirmar,Confirmer,Confermare,確認,확인
common.confirm.save,确认保存,確認保存,Confirm save,Confirmar para guardar,Confirmer pour sauvegarder,Conferma della conservazione,保存を確認します,저장 확인
common.current,当前,當前,Current,La actual,En cours,l’attuale,当面です,현재
common.currentPreset,当前预设,当前预设,Current Preset,,,,,
common.dashboard,仪表,儀表,Dashboard,Tablero,Tableau de bord,Dashboard,ダッシュボード,대시보드
common.dashboardDetailSize,仪表盘详情,,,,,,,
common.dashboardScreenName,仪表盘屏幕名称,,,,,,,
common.dashboardSetting,仪表盘设置,儀表板設定,Dashboard Settings,Configuración del panel de instrumentos,Paramètres du tableau de bord,Impostazioni dellla dashboard,ダッシュボード設定,대시보드 설정
common.dashboardSource,仪表盘来源,,,,,,,
common.delete,删除,删除,Delete,Eliminar,Supprimer,Elimina,削除,삭제
common.deviceName,设备名称,設備名稱,Device Name,Nombre del dispositivo,Nom de l'appareil,Nome del dispositivo,デバイス名,장치 이름
common.direction,方向,方向,Direction,dirección,Direction,Direzione,方向,방향
common.disable,禁用,禁用,Disable,deshabilitar,interdits,vietate,無効です,사용 안 함
common.edit,编辑,編輯,Edit,Editar,Modifier,Modifica,編集,편집
common.enable,启用,啟用,Enable,Habilitar,Activer,Abilita,有効化,활성화
